ID,Tipo,Descripción corta,Descripción,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3
52239,variation,,,3,Color,Hierro,,1,,,,,,,,,
52240,variation,,,4,Color,Blanco,,1,,,,,,,,,
52241,variation,,,5,Color,Negro,,1,,,,,,,,,
52245,variation,,,4,Color,Blanco,,1,,,,,,,,,
52246,variation,,,5,Color,Negro,,1,,,,,,,,,
52242,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52243,variation,,,2,Color,Oxido,,1,,,,,,,,,
52244,variation,,,3,Color,Hierro,,1,,,,,,,,,
52250,variation,,,4,Color,Blanco,,1,,,,,,,,,
52251,variation,,,5,Color,Negro,,1,,,,,,,,,
52247,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52248,variation,,,2,Color,Oxido,,1,,,,,,,,,
52249,variation,,,3,Color,Hierro,,1,,,,,,,,,
52255,variation,,,4,Color,Blanco,,1,,,,,,,,,
52256,variation,,,5,Color,Negro,,1,,,,,,,,,
52252,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52253,variation,,,2,Color,Oxido,,1,,,,,,,,,
52254,variation,,,3,Color,Hierro,,1,,,,,,,,,
52257,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52258,variation,,,2,Color,Oxido,,1,,,,,,,,,
52259,variation,,,3,Color,Hierro,,1,,,,,,,,,
52260,variation,,,4,Color,Blanco,,1,,,,,,,,,
52261,variation,,,5,Color,Negro,,1,,,,,,,,,
52262,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52263,variation,,,2,Color,Oxido,,1,,,,,,,,,
52264,variation,,,3,Color,Hierro,,1,,,,,,,,,
52265,variation,,,4,Color,Blanco,,1,,,,,,,,,
52266,variation,,,5,Color,Negro,,1,,,,,,,,,
52267,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52268,variation,,,2,Color,Oxido,,1,,,,,,,,,
52269,variation,,,3,Color,Hierro,,1,,,,,,,,,
52270,variation,,,4,Color,Blanco,,1,,,,,,,,,
52271,variation,,,5,Color,Negro,,1,,,,,,,,,
52272,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52273,variation,,,2,Color,Oxido,,1,,,,,,,,,
52274,variation,,,3,Color,Hierro,,1,,,,,,,,,
52275,variation,,,4,Color,Blanco,,1,,,,,,,,,
52276,variation,,,5,Color,Negro,,1,,,,,,,,,
52280,variation,,,4,Color,Blanco,,1,,,,,,,,,
52281,variation,,,5,Color,Negro,,1,,,,,,,,,
52279,variation,,,3,Color,Hierro,,1,,,,,,,,,
52277,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52278,variation,,,2,Color,Oxido,,1,,,,,,,,,
52282,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52283,variation,,,2,Color,Oxido,,1,,,,,,,,,
52284,variation,,,3,Color,Hierro,,1,,,,,,,,,
52285,variation,,,4,Color,Blanco,,1,,,,,,,,,
52286,variation,,,5,Color,Negro,,1,,,,,,,,,
52290,variation,,,4,Color,Blanco,,1,,,,,,,,,
52291,variation,,,5,Color,Negro,,1,,,,,,,,,
52287,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52288,variation,,,2,Color,Oxido,,1,,,,,,,,,
52289,variation,,,3,Color,Hierro,,1,,,,,,,,,
52292,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52293,variation,,,2,Color,Oxido,,1,,,,,,,,,
52294,variation,,,3,Color,Hierro,,1,,,,,,,,,
52295,variation,,,4,Color,Blanco,,1,,,,,,,,,
52296,variation,,,5,Color,Negro,,1,,,,,,,,,
52297,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52298,variation,,,2,Color,Oxido,,1,,,,,,,,,
52299,variation,,,3,Color,Hierro,,1,,,,,,,,,
52300,variation,,,4,Color,Blanco,,1,,,,,,,,,
52301,variation,,,5,Color,Negro,,1,,,,,,,,,
52302,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52303,variation,,,2,Color,Oxido,,1,,,,,,,,,
52304,variation,,,3,Color,Hierro,,1,,,,,,,,,
52305,variation,,,4,Color,Blanco,,1,,,,,,,,,
52306,variation,,,5,Color,Negro,,1,,,,,,,,,
52311,variation,,,5,Color,Negro,,1,,,,,,,,,
52310,variation,,,4,Color,Blanco,,1,,,,,,,,,
52307,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52308,variation,,,2,Color,Oxido,,1,,,,,,,,,
52309,variation,,,3,Color,Hierro,,1,,,,,,,,,
52312,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52313,variation,,,2,Color,Oxido,,1,,,,,,,,,
52314,variation,,,3,Color,Hierro,,1,,,,,,,,,
52315,variation,,,4,Color,Blanco,,1,,,,,,,,,
52316,variation,,,5,Color,Negro,,1,,,,,,,,,
52318,variation,,,2,Color,Oxido,,1,,,,,,,,,
52319,variation,,,3,Color,Hierro,,1,,,,,,,,,
52320,variation,,,4,Color,Blanco,,1,,,,,,,,,
52321,variation,,,5,Color,Negro,,1,,,,,,,,,
52317,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52325,variation,,,4,Color,Blanco,,1,,,,,,,,,
52326,variation,,,5,Color,Negro,,1,,,,,,,,,
52322,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52323,variation,,,2,Color,Oxido,,1,,,,,,,,,
52324,variation,,,3,Color,Hierro,,1,,,,,,,,,
52327,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52328,variation,,,2,Color,Oxido,,1,,,,,,,,,
52329,variation,,,3,Color,Hierro,,1,,,,,,,,,
52330,variation,,,4,Color,Blanco,,1,,,,,,,,,
52331,variation,,,5,Color,Negro,,1,,,,,,,,,
52332,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52333,variation,,,2,Color,Oxido,,1,,,,,,,,,
52334,variation,,,3,Color,Hierro,,1,,,,,,,,,
52335,variation,,,4,Color,Blanco,,1,,,,,,,,,
52336,variation,,,5,Color,Negro,,1,,,,,,,,,
52340,variation,,,4,Color,Blanco,,1,,,,,,,,,
52341,variation,,,5,Color,Negro,,1,,,,,,,,,
52339,variation,,,3,Color,Hierro,,1,,,,,,,,,
52337,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52338,variation,,,2,Color,Oxido,,1,,,,,,,,,
52344,variation,,,3,Color,Hierro,,1,,,,,,,,,
52345,variation,,,4,Color,Blanco,,1,,,,,,,,,
52346,variation,,,5,Color,Negro,,1,,,,,,,,,
52342,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52343,variation,,,2,Color,Oxido,,1,,,,,,,,,
52347,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52348,variation,,,2,Color,Oxido,,1,,,,,,,,,
52349,variation,,,3,Color,Hierro,,1,,,,,,,,,
52350,variation,,,4,Color,Blanco,,1,,,,,,,,,
52351,variation,,,5,Color,Negro,,1,,,,,,,,,
52353,variation,,,2,Color,Oxido,,1,,,,,,,,,
52354,variation,,,3,Color,Hierro,,1,,,,,,,,,
52355,variation,,,4,Color,Blanco,,1,,,,,,,,,
52356,variation,,,5,Color,Negro,,1,,,,,,,,,
52352,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52357,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52358,variation,,,2,Color,Oxido,,1,,,,,,,,,
52359,variation,,,3,Color,Hierro,,1,,,,,,,,,
52360,variation,,,4,Color,Blanco,,1,,,,,,,,,
52361,variation,,,5,Color,Negro,,1,,,,,,,,,
52362,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52363,variation,,,2,Color,Oxido,,1,,,,,,,,,
52364,variation,,,3,Color,Hierro,,1,,,,,,,,,
52365,variation,,,4,Color,Blanco,,1,,,,,,,,,
52366,variation,,,5,Color,Negro,,1,,,,,,,,,
52370,variation,,,4,Color,Blanco,,1,,,,,,,,,
52371,variation,,,5,Color,Negro,,1,,,,,,,,,
52367,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52368,variation,,,2,Color,Oxido,,1,,,,,,,,,
52369,variation,,,3,Color,Hierro,,1,,,,,,,,,
52372,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52373,variation,,,2,Color,Oxido,,1,,,,,,,,,
52374,variation,,,3,Color,Hierro,,1,,,,,,,,,
52375,variation,,,4,Color,Blanco,,1,,,,,,,,,
52376,variation,,,5,Color,Negro,,1,,,,,,,,,
52379,variation,,,3,Color,Hierro,,1,,,,,,,,,
52380,variation,,,4,Color,Blanco,,1,,,,,,,,,
52381,variation,,,5,Color,Negro,,1,,,,,,,,,
52377,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52378,variation,,,2,Color,Oxido,,1,,,,,,,,,
52382,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52383,variation,,,2,Color,Oxido,,1,,,,,,,,,
52384,variation,,,3,Color,Hierro,,1,,,,,,,,,
52385,variation,,,4,Color,Blanco,,1,,,,,,,,,
52386,variation,,,5,Color,Negro,,1,,,,,,,,,
52389,variation,,,3,Color,Hierro,,1,,,,,,,,,
52390,variation,,,4,Color,Blanco,,1,,,,,,,,,
52391,variation,,,5,Color,Negro,,1,,,,,,,,,
52387,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52388,variation,,,2,Color,Oxido,,1,,,,,,,,,
52392,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52393,variation,,,2,Color,Oxido,,1,,,,,,,,,
52394,variation,,,3,Color,Hierro,,1,,,,,,,,,
52395,variation,,,4,Color,Blanco,,1,,,,,,,,,
52396,variation,,,5,Color,Negro,,1,,,,,,,,,
52400,variation,,,4,Color,Blanco,,1,,,,,,,,,
52401,variation,,,5,Color,Negro,,1,,,,,,,,,
52397,variation,,,1,Color,Personalizado,,1,,,,,,,,,
52398,variation,,,2,Color,Oxido,,1,,,,,,,,,
52399,variation,,,3,Color,Hierro,,1,,,,,,,,,
